image_id,pred_clean,gt
051c044e-f11f-4c98-8d6c-719329be19d8,"religious, painting",religious art
05391dd0-e0cc-4ff1-be91-2f46b28ac8de,"religious, landscape",religious art
0589e0c1-93c2-4ecc-95b0-2f228b30d719,"Historical, Military",schutterstuk
05c37ff0-3e04-4c44-957f-724cf4a31946,"religious, landscape",religious art
06195de9-7b3d-4a11-9667-9d8792c03d0d,Impressionism,architectural view
065bdae6-11b5-4768-a48e-e732d641217f,"landscape, social scene",landscape painting
0667b9eb-77dd-40fc-b3d5-551f4bf2860a,"religious, iconography",religious art
066ec128-40fb-4360-b632-0d6712695ac9,"Portraiture, Historical",portrait
067d1931-0c2d-434c-9973-8cc380122279,"Portraiture, Historical",portrait
06a8ae89-42a3-4105-a2dd-316f1b939f5e,portrait,portrait
06b3a822-3c94-45af-a61a-b43dc28941fa,portrait,portrait
06d2535a-f817-4c5f-be76-d6bc62377f98,"landscape, religious",landscape painting
06e6cf85-55b8-41f2-b7c7-5b29d702f39d,"Romanticism, Historical",genre art
06ed179a-af41-4cd7-92e9-2779ce3124bf,"genre1, genre2, genre3",mythological painting
0733a1a2-215b-42de-99cd-88577e61c9e1,"religious, portrait",religious art
0769e816-c07f-4fac-9c4e-3046b1da5535,"landscape, village",landscape painting
08164027-dac8-4b89-9681-d8fad76010c9,landscape,landscape painting
086242b0-0136-41a3-aa47-6a9d8d4ea953,"Portraiture, Historical",portrait
0865dc42-71b0-41f6-8648-0a61ff098b0b,"landscape, cityscape, nautical",Veduta
086e9664-b792-419e-8fcc-126fc80c4a17,"landscape, cityscape",landscape painting
086efa4c-450b-4e51-93b0-7904d000c263,Still Life,floral painting
086fbb17-5175-4df1-912d-200547a62d33,"Market Scene, Daily Life",cityscape
08d218d5-0cad-4e75-a361-b190d27b69ed,"landscape, seascapes",landscape painting
08e888c4-d92a-4001-b60f-907af33d6748,"landscape, seascapes",marine art
08f9973d-f493-444d-80b1-fdc68e52259f,"landscape, cityscape",Veduta
0935d5b3-38a9-405c-a045-21f7278687fb,"religious, historical",religious art
09651665-7cbe-4a8f-84fd-51f85c2ab137,"religious, portrait",religious art
09819e8f-c333-480a-b12f-d491fdf67756,"Abstract Expressionism, Modernism",landscape painting
09b7c36d-2bee-4696-b5c6-704382be1c26,portrait,portrait
09f1df7a-8e49-4f2e-8d36-44cebdec9349,"portrait, genre painting","portrait, genre art"
09f57b74-f1b6-4e8e-91a9-6b2712102625,"religious, landscape",religious art
09fd4fa1-3c93-454d-a81d-d0344ab9b69b,"Religious, Historical",religious art
0a079292-50bb-4d2e-ac41-9cf3cbbdada3,portrait,portrait
0a2f69b9-8240-45db-9918-82d4ab9f8ce4,"Portraiture, Fashion",portrait
0a5174b9-8e93-41cb-bc25-ecabeffd0172,"Portraiture, Historical",portrait
0a711351-523c-43fb-8500-2fb90d67a7b8,"landscape, portrait",animal art
0b113e9d-df4c-449f-a3b6-efb36afbe44e,"landscape, gothic",mythological painting
0b536421-78b6-451f-83f4-33db83ff44f0,"Portraiture, Historical Portrait",portrait
0b7e09fb-a996-4453-af21-7d0c1302850b,"landscape, seascapes",landscape painting
0b98c628-53f0-48ed-a076-e923bb061e7e,"Portraiture, Historical",portrait
0c07cad0-613e-40d6-8dde-8f898c955fc3,"Portraiture, Historical",portrait
0c305ede-a3d4-4476-955f-d9d65a60f71a,"landscape, portrait",landscape painting
0c32abe9-cf61-4269-acad-eee1baed4d9a,"Self-Portrait, Portrait",self-portrait
0c5eff9c-f93c-49fe-8f9a-25ed429a42f9,"religious, painting",religious art
0c864c40-b020-4c70-abf1-73c15fae7289,"Portraiture, Romanticism",portrait
0cdcf3bc-c974-4bce-88a8-1827fe4e97f3,"Historical, Military",equestrian portrait
0cff61d6-b9ac-4f18-8b86-cd8caedf4aa0,"Historical, Military",schutterstuk
0d5919e7-b989-4847-90a7-4d1be926daa6,"Portraiture, Drapery",portrait
0d7123fe-04f4-4a30-83b5-7c9c176d1f64,Market Scene,religious art
0d83a087-8342-4d8d-849b-b9b44b97a533,"Realism, Portraiture",genre art
0e29d1af-7fb4-4a4a-80cd-8c6bbe5c2416,"portrait, conversation","portrait, history painting, self-portrait"
0e94788e-a9ae-4661-b338-833d9fba716f,"Portraiture, Historical",portrait
0ec28538-6d2d-47ea-a31d-3789fd8521d8,"religious, portrait",religious art
0f114442-5d96-42f8-afc0-6a65e5611969,"landscape, nautical","landscape painting, marine art"
0f1e535e-69df-4446-a4ad-02da221e9088,"Portraiture, Realism",portrait
0fb08a16-cff0-4381-9a4e-8d9edf01daa1,"Religious, Historical",religious art
0feafd65-ae0c-41e3-9448-dcb0aaaaf522,Still Life,still life
0ff59d76-8939-42c7-9e3d-0d04d898bd3a,"Portraiture, Dramatic Portrait",portrait
10100024-d8c0-4f2a-b2f6-221e0eb5e9c7,"Classical, Nautical",mythological painting
105fec4c-8c29-4ee6-b8dd-1feeb1c6e3f0,"portrait, genre painting",portrait
1081a62b-331c-4093-992b-4469dd41d110,"Portraiture, Historical Portrait",portrait
10b621c5-656f-4236-9698-c3dd47e2b297,"Romanticism, Nude Painting","nude, mythological painting, idyll"
10c024ae-f876-406b-8a78-a50d0a327e32,portrait,self-portrait
10f3a971-be43-4831-b1f1-95e48b38690c,"landscape, coastal scene",history painting
116e50be-8e4b-4b52-a522-35b90897e0ec,"Still Life, Floral Still Life",still life
116fcf75-18fe-4d3c-ada7-caece8bf203d,"Portraiture, Historical",portrait
1198c60f-2ea2-473c-9b30-687540790800,"landscape, landscape with mountainous terrain",landscape painting
11ff8107-7b32-4622-8cc6-b030d864b4a9,"Portraiture, Historical",portrait
12418643-c6a6-45ce-aa5d-e3738189abec,"Romanticism, Nude",mythological painting
127a6a83-8150-4b11-b9cb-e854ad471a9d,"landscape, natural landscape","landscape painting, marine art"
127c910e-b898-42ed-a7b3-2c5cc1bc721b,"Abstract Expressionism, Modernism",portrait
12a9766f-63e5-40a3-835c-638552190143,"Symbolism, Self-Portrait",portrait
12d3e6c3-2feb-4ee2-ad89-65155802fb9a,"landscape, landscape with rocky outcrops",landscape painting
12de9d3f-eb65-46d8-b128-16d7b11e3209,religious,religious art
1302e2e5-699b-4d1d-be26-0b5bc656121f,"Portraiture, Romanticism",portrait
13077bde-bdf6-43ed-b712-a906de4e4532,"religious, painting",religious art
13146356-b47e-447c-bfb1-c80eecbcdd4e,"Portraiture, Historical",portrait
133653da-65df-4fe2-b895-b3d4ea9f51d0,religious,religious art
133e1c52-a444-43fa-9e22-e24d3d79bc41,"Portraiture, Religious Portrait",portrait
135f3914-f802-4430-b192-46131d6c340c,"Portraiture, Fashion",portrait
1381f8a9-930b-4816-813a-9f510d1e8a15,"landscape, cityscape",landscape painting
13b2d742-92c1-4c7e-80ac-c7684719b0cc,"religious, portrait",religious art
13cfede9-784e-4bc5-a2b8-293c219029c7,"Portraiture, Historical",portrait
141222a4-794b-4d9f-b1e3-40f8d0dcc506,"landscape, mythology",mythological painting
14284f83-794a-4ac9-95da-45db2a158296,"Modernism, Symbolism","allegory, nude"
14c124bb-6e15-40eb-9339-fe8daf0eebdd,"portrait, religious",portrait
1523ee7f-86d3-4187-b57c-345ffd022e47,"Portraiture, Dramatic Portrait",portrait
152f4326-4bd0-4948-9792-086e43ad67bf,"religious, portrait","portrait, religious art"
155c8e6c-eba2-49e2-bbc0-17abc5eaebd0,"landscape, village scene",landscape painting
157c03f1-0297-49e5-bd4f-39b52fe35eda,"landscape, portrait","landscape painting, portrait, figure painting, genre art"
1637682d-e46f-49d7-aafb-c7bb99db8c58,"Portraiture, Military",equestrian portrait
164e7cd2-cbfb-4aaf-a177-07a0e83c68ca,Native American Portrait,portrait
169d4744-f1a8-4f4b-8169-a2026c119143,"religious, mythological",mythological painting
16e95d28-cc48-45ce-9bc8-bc7ec4ced66b,"Abstract Expressionism, Symbolism",landscape painting
1700579e-200c-4104-9596-96c0f0f1693c,"Religious, Historical",religious art
171e7c56-3f2e-40d3-bfd6-8fbe9215ac5b,"religious, painting",religious art
1735fb9c-5707-46ab-9700-47a29f1f31a2,"cityscape, street scene",cityscape
1744fe41-e4b2-4a25-9261-5aabd4eb3d06,"Still Life, Floral",still life
17556df7-8604-4f3a-b046-409b1288862e,"religious, portrait",religious art
179c1176-52b8-4131-bdf7-cb27059dd137,"Portraiture, Drama",portrait
17a3b04e-c20b-46f3-938e-e5f18ce94b1b,"religious, portrait","portrait, religious art"
17bbd4a0-eb5f-4c49-b0e2-8922c5bbefda,"Portraiture, Historical Portrait",portrait
17eac1eb-787a-48c3-abf0-8b0d7941d889,Romanticism,mythological painting
182bb073-6895-4619-9642-cddc5f1e5cc8,"Romanticism, Historical",mythological painting
184802b1-2c6e-4fa4-a025-37c88f9ebd40,"religious, portrait",portrait
1896ef6a-827c-40d1-8e40-7c5f0289304c,"Portraiture, Military",portrait
18a6e1cc-333c-49bd-9a15-87036bf21c40,landscape,landscape painting
18b24634-0776-4c86-9d2f-b42f59581856,"religious, portrait",religious art
18ddd29e-5992-4961-b747-3178b0fca044,"landscape, landscape with trees",landscape painting
18dfae3b-b897-4edb-bbd1-89625205a7c5,"Portraiture, Realism",portrait
192353b7-6c56-4e6b-aaeb-302a052ff78e,"Religious, Historical",religious art
19528183-894a-4421-b255-560783065071,Still Life,vanitas
1953f734-6405-49e9-bb5f-d995a5797ba8,"landscape, interior, architecture",church interior
19815b86-8f57-425a-b846-57f5cbb67a80,"portrait, historical",portrait
19b32ae9-b34f-4336-9c26-8867bfd98d24,Racing Painting,genre art
19ba1f81-b547-4d86-b6ee-6d417d685ba5,"Classical, Romantic",mythological painting
19bfb8cf-09c8-475c-8018-0dac525bb3aa,"Romanticism, Nude Painting",nude
19d510d8-4175-4f51-a867-7a48f561bbad,landscape,landscape painting
19f1925f-9f6d-4037-bfbe-5b6eb58246ab,"landscape, impressionism",landscape painting
19fd9370-2742-438e-9b33-f96461faf5c6,"religious, mythological",religious art
1a17b45b-0bd2-4c0c-913b-0c49119b10f7,"Realism, Portraiture",portrait
1a369f72-b8ec-45eb-bc73-57ef73e9ee4f,"landscape, landscape painting",landscape painting
1a7979a1-53a0-4918-bed9-bb508582c42b,"religious, portrait",history painting
1abdb1eb-3acf-4fad-8257-3a7f4c1b4223,"Portraiture, Realism",portrait
1ae072ec-9a5e-4811-a166-effd27064dd2,"religious, portrait",religious art
1ae0a329-1b90-4f44-b459-06c2efefd082,"Portraiture, Romanticism",portrait
1b1e4a95-165f-44ab-9e37-3c3b29af5c72,landscape,animal art
1b99e9f3-e507-4f7f-b7be-ef375a349594,"religious, portrait",religious art
1baf2d84-3cf2-466a-b8d9-893ad35bb22f,"Romanticism, Genre Painting","history painting, mythological painting"
1c0eeaea-86bd-4cb0-ac04-3c1fa97ce276,"religious, painting",religious art
1c26f47f-44a2-4662-96b6-07bd1f7cbc28,Still Life,still life
1c4f5f9e-14ce-445c-8b3b-2f0ead0c7c09,"religious, portrait",religious art
1cb00e5e-5ccd-4c25-9d78-618862feef06,"religious, painting",religious art
1ce17322-da97-49f2-9b37-ecd34bf1777b,"Portraiture, Fashion",portrait
1cf4f00d-79be-4019-895e-607d8d40ab39,Still Life,still life
1cf79aab-ec32-4506-bba2-4ef626fe30cf,"Portraiture, Historical",portrait
1cfab3b3-85ff-4618-9bc1-a63097ba851c,"portrait, self-portrait",portrait
1d140472-94d5-42a6-80e8-0ac3c4ab5689,"religious, portrait",religious art
1d178d50-c65d-4f09-9444-9a18b4c72c63,"landscape, cityscape","landscape painting, Veduta"
1d597032-ecef-46f3-a621-92123d5be525,"Romanticism, Portraiture",genre art
1d66171c-6752-4085-9cfc-fa11838c5c3e,"Romanticism, Symbolism","nude, mythological painting"
1d73f4d0-d4dd-4fd2-b9b6-ebd943a69e7d,"Portraiture, Historical",portrait
1d85f443-a18f-44e7-85e5-4a34e808085d,"Romanticism, Naturalism",mythological painting
1dc0b166-dd6c-45fd-a928-8e2bf7904ed1,portrait,portrait
1dccea14-5997-44d9-b0c8-e4d1087c82cc,"landscape, night scene",landscape painting
1e033415-2505-4ca3-97bd-9d01b3872c86,"Portraiture, Historical",portrait
1e294ddb-58d4-46a6-a868-6b39e0c002fc,"Self-Portrait, Portraiture","portrait, self-portrait"
1e2a2010-1811-40a0-ad5b-31ad925ad2b0,portrait,portrait
1e712505-fa9f-4f64-b158-b0754b108c09,Impressionism,"portrait, genre art"
1eb57da3-f11d-445a-b47c-432a0fce0ddd,"Portraiture, Miniature Painting",self-portrait
1eb80c06-96b8-44be-8828-a0055706db09,Impressionism,interior view
1ed3b12c-1931-4f9d-b2fb-d47066b28fed,"portrait, figurative",portrait
1ed9b89d-c13f-45ac-b084-7fa8b8688257,"religious, portrait",religious art
1f031393-62c4-4393-b6ee-ebd5bb649f97,"landscape, still life",trompe-lœil
1f0b251b-e708-4b95-bad8-1d7851804935,"religious, historical","history painting, religious art"
1f2c8be8-474d-4c4f-ab20-511141af4629,Portrait,portrait
1f50da53-8752-4c33-952e-1cb9f5350f98,"landscape, historical",architectural view
1fd90bdb-7e20-4e5b-a302-24005af0a021,"Portraiture, Realism",portrait
1feff28e-5d58-45f6-8391-5f08a29dbd34,"cityscape, street scene",cityscape
2020308b-1c5f-4e87-9be3-be83afee7610,"Portraiture, Historical",portrait
2032e4a5-97d4-455e-83e2-8ca026cd7849,still-life,still life
2063f7b4-c413-4729-b1b0-10f14ad4c5da,"landscape, hunting",landscape painting
206793bf-6bb1-425f-a198-45f78c84a344,"Realism, Nude",genre art
212e9d94-61be-4a48-bc64-83f0ecdf0221,"landscape, seascapes",landscape painting
2172d2cd-d72f-4cfc-af7f-66ac1719bb20,"Portraiture, Realism",portrait
217cd8ca-72f4-4ba4-b3aa-a33aa3681002,portrait,portrait
21a0ed1b-b170-48fb-b0d9-e836276a264a,"Still Life, Floral Still Life",still life
21a81de4-ce7c-4b03-9762-cca3368397e6,"cityscape, street scene",landscape painting
21c9fb9b-e3f4-4fed-a21b-994135465f8e,portrait,portrait
21dec38b-a597-4e22-b45c-5eea07fbe84f,"Portraiture, Musician",portrait
21ea1733-fc36-4503-8dc2-241ef796f752,"landscape, seascape",marine art
21f076aa-b097-4102-b88e-a4288dfbbfe0,"Religious, Symbolism",religious art
2223f9dc-099f-4b44-89e6-4f7d1de530bc,"Romanticism, Genre Painting","religious art, nude, genre art"
22296850-7e57-44ae-8ee9-201fbb105186,"landscape, impressionism",landscape painting
2244f73f-9831-4c6f-8c5b-b7625f7210c2,"Symbolism, Religious",allegory
225964b1-2000-4b3b-9c3d-fcdafe4541d0,"Religious, Historical","history painting, religious art"
228cb90a-3331-4cb6-a588-1856694b80e0,landscape,landscape painting
22988e85-162a-4074-95df-080027275f6a,"landscape, genre painting",genre art
22b968c3-6bea-4dd5-b891-576ea896a46d,landscape,landscape painting
22c93672-aa4b-4a03-a57d-753b602a0b1f,"portrait, historical",portrait
23110ab2-e1f1-4d8a-8957-55347c7957d8,"portrait, genre painting",portrait
233febeb-8104-43a1-932d-5bf89a4479b1,"landscape, cityscape, nautical",Veduta
236b430c-05e7-494c-a246-93c972cc637a,"landscape, village",landscape painting
23a463d2-4ec4-4c91-9a95-bc13999c8ffc,religious painting,religious art
23a4bc09-ec2e-4292-8db8-d79636701177,Nude Painting,"nude, genre art"
23e726be-fbe4-4f11-8282-7d258a688b0c,"Portraiture, Religious","portrait, religious art"
23e86c23-2599-49ff-8979-26a8d6563c6f,"landscape, painting",landscape painting
240fd3cf-3968-4ff8-987c-d4529ddc5971,"Historical, Religious",history painting
24319771-541d-4674-a0fb-217a21436e8b,"landscape, watermill",landscape painting
24349039-6409-43dc-98c9-5b161445521e,"Portraiture, Historical",portrait
24cb4db2-c53a-4f3f-89d3-f72109a68113,"Portraiture, Historical",portrait
24f5e889-f88c-4c65-86d7-f87872887449,portrait,portrait
253602e7-0b70-4766-9e33-a34658e200a5,"Portraiture, Drama",self-portrait
2544cb9b-2bd6-4326-9320-b88fde6ed891,"landscape, snowscape, winter",landscape painting
25580901-e671-4576-8a0a-99d6896f53b7,"landscape, portrait",landscape painting
25a2684d-5da5-4c0d-931d-1c15d06b36d0,"Romanticism, Love Story",genre art
25f2b3b9-16e6-46d5-98c8-ca56b817988a,"Romanticism, Historical",genre art
25fb93b8-fcf4-4eb3-9283-cb31d1561053,"religious, historical",religious art
26318b63-ab70-4539-ab68-44ef26afd414,"religious, portrait",religious art
26650758-4263-4d23-9fdd-87ec2de882cd,"Portraiture, Realism",portrait
2670390d-1113-4538-9a93-244631f76554,"Portraiture, Romanticism",portrait
2674b2e3-4225-4814-88a8-e63e80fd7f5c,"landscape, portrait",landscape painting
269b606e-6a11-424a-9835-5613e4eddfd3,"Still Life, Floral Still Life",floral painting
26d5424e-64fa-4537-9d6a-076cfd3cd127,"landscape, abstract",religious art
26dcd651-183f-4490-9e14-58eab6252d1c,landscape,cityscape
27067e9a-2f3e-404c-ad33-9f88b07c1d41,"religious, genre painting",religious art
2708accf-8778-4aad-ab80-59effd2530b0,"Miniature Painting, Portraiture",miniature
2730fb58-9ef3-4153-a480-130fe6ba07d2,"religious, portrait",religious art
27f705da-0f7e-43d5-8404-3b903d56244f,"landscape, historical",architectural painting
280934d9-3d25-4d55-b854-e99644e7fc34,"Portraiture, Historical",portrait
284d5232-6d05-4f66-8f27-3a41445151dc,"religious, portrait",religious art
28863d9a-0f58-4231-98c5-ce82c76ea497,"Historical, Symbolism",mythological painting
28a6ac26-a4dd-48bc-b120-38f2d2b4cc14,"religious, historical",religious art
28a9b4d3-6803-4833-bcf0-7eaeab416419,portrait,portrait
28fbabbd-22e2-42e2-aa57-0cafc6039495,"religious, painting",religious art
2919178e-9b9c-4d38-b05f-52ded9b73ec6,"religious, historical",religious art
2957e66d-060c-4450-be30-33cb30536979,"landscape, pastel",landscape painting
2994a190-b190-4815-aab9-3ee594fa79aa,"religious, religious",religious art
299deaa8-9a3d-4628-8a9f-7b06bb410bef,"landscape, landscape",landscape painting
29ecad1e-fe12-483b-8660-47d47eb97ca9,"religious, portrait, landscape",religious art
29f37335-f62a-4ac7-bfe0-9a382ae16ea2,"Historical, Symbolism",portrait
29fc2008-fd48-4a02-b2d4-825e1768e0b9,"Romanticism, Historical",mythological painting
2a0afa3b-d1a5-4510-88b5-471917d5d5b0,landscape,"landscape painting, animal art"
2a0d50f4-7c44-4cd4-bfac-929ecb824e37,"Portraiture, Equestrian Art",portrait
2a3d7afd-7a75-44a9-8d48-3a93c9d8f4ec,"Portraiture, Military",portrait
2a4c7b37-95dd-4bfe-814b-816db77e3ff5,"portrait, historical",portrait
2a7bbe86-0094-49cd-8382-9104c153b0a4,"Still Life, Dinner Party","still life, self-portrait"
2a86f847-95ea-4d9f-b852-b4272290e40d,"religious, painting",religious art
2aeb6877-a077-4f65-bd39-fe4c31424459,"landscape, portrait, genre",portrait
2b002c28-dad7-4c1c-883e-0f05313ebed4,"Portraiture, Drama",portrait
2b16f280-6977-4736-b4f8-c172bd4c5327,"Classical, Romantic",allegory
2b761758-fcfd-4905-a6bf-9987105d944f,"religious, portrait",religious art
2b847e52-fe84-4a89-b839-ed4b71f2c09a,"Impressionism, Seascapes","landscape painting, marine art"
2bc2c6a9-a01e-4552-bd63-b5a64ecb7966,Village Market,allegory
2bff5c63-a395-444e-aaf2-0f963c96d582,"landscape, impressionism",landscape painting
2c141e48-2fc7-4864-b4ff-fcb7fde6fd40,"landscape, architecture",landscape painting
2c26cb77-de7d-49d8-b99a-aa5c77d261e7,"portrait, religious",portrait
2c377267-c98b-4023-8a95-4def8d0e5ea3,landscape,landscape painting
2c41f457-f89e-40d6-be19-1bda57d41cda,"Portraiture, Historical",portrait
2ca6ce7d-c88d-415a-bc12-0a1cc5e3a53e,"Seascape, Nautical Scene",landscape painting
2d256c89-8d96-4399-9ba1-7a37db909757,Seascapes,landscape painting
2d4d4ac8-d46f-4e14-91f7-b531feafe206,"Portraiture, Realism",portrait
2d56b03b-ab0b-4c75-8d2d-0de7a2857f35,"religious, historical",religious art
2dc44774-13c8-400f-b0d1-d3af85fc5d4e,"religious, portrait",religious art
2dc84b7b-49f9-4970-ba0a-5fc7945952b1,"religious, historical",religious art
2dd0c08a-2cd6-4161-8c27-b1ed72fd55d1,"landscape, cityscape","landscape painting, architectural view"
2de55a5e-0399-404b-a996-4159d0c6fbfb,"Portraiture, Romanticism",portrait
2e801cb3-6fac-46f4-818e-8856c30b891e,portrait,portrait
2ea8bc0a-3950-4772-a96f-7401d4e48641,"landscape, impressionism",landscape painting
2ec60e74-fd91-4462-abcc-f2d1178a1069,"Train Interior, Social Commentary",genre art
2ef4c54f-297b-4582-a089-462458d37174,"landscape, cityscape, genre painting","landscape painting, genre art"
2f0e7913-a1d2-4e33-b471-483650bbde0f,"portrait, portrait",portrait
2f1f7a4f-a5b8-4bc9-b8ec-da29409f0311,"Portraiture, Dramatic Portrait",self-portrait
2f2738ae-0ae7-4645-8006-37352b156218,"religious, historical",religious art
2f48a625-7b63-47da-b49e-992ddeecee0f,religious painting,religious art
2f6f4adc-1fcd-4cd9-af95-89e23d599b03,"religious, medieval",religious art
2fb5d7c6-70b3-483c-b02a-62c51475bee3,"religious, cityscape",religious art
2fbb9e06-e507-441d-acb5-a68ee68d8932,"portrait, genre painting",portrait
2fdb8df2-40c3-47a4-9a1d-bc41529d4043,"landscape, village scene",landscape painting
3001c551-0982-4782-a430-e4cc54148d5e,"landscape, portrait",genre art
302b091a-c814-49b7-a9de-acfa4f19a01d,"landscape, cityscape","marine art, cityscape"
306c8dfd-2d52-4e51-bff0-5994c37903cc,"religious, portrait",portrait
3084bdda-2c38-42f4-b228-a381fc3184eb,"religious, portrait",religious art
30b93f3e-138d-4f1a-b6d3-e5700ee9661f,"religious, religious",religious art
3113dabb-9a58-417f-92fd-bcba5bdb9477,"Religious, Funeral",religious art
3192d633-3a97-4226-8b4e-b634898ded6b,"landscape, pastoral",landscape painting
31a0db07-a791-4cee-a085-770f8255bde7,"landscape, cityscape, historical",capriccio
31c26a00-47ee-4b2c-9929-f4c5e557e845,"landscape, landscape",landscape painting
320710ed-6242-4dad-9a34-1f19f5d1ec87,"Portraiture, Historical",portrait
32239f4b-32aa-4b0e-8629-4ca8903c5fa2,"landscape, nude",mythological painting
32258c77-5287-437d-93ca-6ae53a068f79,"religious, painting",religious art
32e0e64d-238a-48f2-9457-c3967ddf2608,"Science Fiction, Fantasy",mythological painting
32fb757c-cbd3-4638-ade6-fc1634257798,"Portraiture, Military",portrait
33078f4d-86a8-4b53-a8cf-cfbf35cd1d8a,"religious, portrait",religious art
330a5e10-d213-41fc-baef-29d288e7bf8e,"Portraiture, Historical",portrait
33647ada-2e48-4c2e-9e61-882560c86209,"religious, painting",religious art
336586db-73b0-42d4-8570-1b1958632110,"Romanticism, Portraiture",history painting
33978210-dd89-45d2-84e8-5d732326b7bb,"Symbolism, Religious, Symbolic","nude, mythological painting"
33d90da7-9713-42bf-8627-dd9fefb55946,"landscape, travel",landscape painting
34060d15-fa1f-429a-9a62-3e5ddfcaab07,landscape painting,landscape painting
34081628-738d-4eca-bcac-9fe69a2ce788,"religious, painting",religious art
34218040-6d2e-41eb-a0af-6618069822aa,"Romanticism, Portraiture",portrait
34454c6e-e350-457a-a90e-19f0401b1252,"Self-Portrait, Dramatic Portrait",tronie
347f71a5-ade7-4fef-9e18-975707f85fd0,Romanticism,genre art
3486bd9e-0b49-45fc-ab79-e654e1474c8b,"religious, portrait",religious art
348ae08f-5e95-4b7c-9e70-510a8970afc6,"portrait, childhood",portrait
34f26331-0431-487b-b893-20bdacd3d1e9,"religious, portrait",religious art
34fa2444-eae9-4ce1-a329-996c3103bcbb,landscape,landscape painting
3511e680-8e50-48e8-ae59-33fccd7bca1b,portrait,portrait
352520fa-afd8-49dc-9e30-da144bf59927,"landscape, cityscape",landscape painting
354f79db-73e7-42ce-be8d-3bb931089dae,"Portraiture, Realism",self-portrait
35830957-bbbf-4a97-9434-d1b30f68a3ff,"religious, painting",religious art
359fadc2-8a91-4f60-a7f0-5b32639d4a7f,"religious, painting",religious art
35aa9929-518e-40e1-afed-d7513f020b2e,"Portraiture, Historical",portrait
35b8cc1f-a0dc-4514-94cd-9cea6fc4d211,"Romanticism, Nude Painting",mythological painting
3644ec0a-3570-4623-a299-c7fa1a88a08b,"landscape, genre painting",genre art
3686d05d-0665-42f8-a166-3ddaaf38704f,portrait,portrait
36a4e90a-daa2-4a7e-b43a-7cc3baa47316,"Romanticism, Symbolism","history painting, mythological painting"
36bd2d47-70ca-41b8-a22d-68b4a413504d,"portrait, historical",portrait
36dce485-1e38-46bd-be3c-1780d19b7e80,"religious, historical",religious art
36ded2e0-c496-4a38-86b6-c33cb0748667,"Portraiture, Fashion",portrait
3737740d-4e06-4783-bec5-fd6dc3a2b928,"religious, landscape",religious art
3743691d-99b9-4a15-be82-c6ad364118df,"interior scene, religious painting",church interior
3761f4c4-f353-47f5-b57a-eccecf221b08,portrait,portrait
37ccb4ca-bce8-479f-bebe-77fc44ba077f,"Historical, Military",genre art
37df4579-66cb-4a4c-b04d-6201246ad358,"Historical, Religious",mythological painting
38840e85-179c-45bd-b14a-e08d1121e8a8,"Symbolism, Abstract Expressionism",still life
388c16c1-c7b0-45e4-ae3a-43d4e79a77f1,"Portraiture, Historical",portrait
3893021d-5d68-423b-9bfa-0ff4b7bfab0e,Portraiture,portrait
38b3d69e-fec7-40d7-b8eb-4cc0f9fa6752,"religious, painting",religious art
38fdcaf8-e975-408d-bdab-634fabc185bb,"landscape, cityscape",landscape painting
395f9ae6-cb37-42fb-b2c1-d9647df9f926,"Still Life, Netherlands",still life
39dd6067-86a1-46e5-956d-3b30c19953d9,"religious, portrait",religious art
